title,genre,directors,writers,actors,studio_name,tomato_rating,audience_rating,budget,genres
Percy Jackson & the Olympians: The Lightning Thief,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,Craig Titley,647.6666666666666,0,49,53.0,95000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]"
Please Give,Comedy,Nicole Holofcener,Nicole Holofcener,570.5,1,86,64.0,3000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
3:10 to Yuma,"Classics, Drama, Western",Delmer Daves,Halsted Welles,0,2,96,78.0,55000000,"[{""id"": 37, ""name"": ""Western""}]"
3:10 to Yuma,"Action & Adventure, Drama, Western",James Mangold,"Derek Haas, Halsted Welles, Michael Brandt",760.5,3,89,86.0,55000000,"[{""id"": 37, ""name"": ""Western""}]"
Dark Water,"Art House & International, Horror, Mystery & Suspense",Hideo Nakata,"Hideo Hakata, Takashige Ichise, Yoshihiro Nakamura, Ken-ichi Suzuki",0,4,80,66.0,30000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
Dark Water,"Horror, Mystery & Suspense",Walter Salles,Rafael Yglesias,628.5,5,47,28.0,30000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
The Lost City,Drama,Andy Garcia,"G. Cabrera Infante, Guillermo Cabrera Infante",640.0,6,25,64.0,9600000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
The Bridge of San Luis Rey,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,Mary McGuckian,555.0,7,4,35.0,0,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]"
Criminal,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs","Gregory Jacobs, Fabián Bielinsky, Steven Soderbergh, Sam Lowry, Greggory Jacobs, Greg Jacobs",506.0,8,69,57.0,31500000,"[{""id"": 28, ""name"": ""Action""}]"
Criminal,"Action & Adventure, Drama, Mystery & Suspense",Ariel Vromen,"Douglas S. Cook, David Weisberg",693.0,9,30,47.0,31500000,"[{""id"": 28, ""name"": ""Action""}]"
Running Scared,"Action & Adventure, Drama, Mystery & Suspense",Wayne Kramer,Wayne Kramer,969.0,10,41,79.0,17000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
